movieId,title,genres,year,text,tag
1,toy story (1995),adventure animation children comedy fantasy,1995,toy story (1995) adventure animation children comedy fantasy 1995 pixar fun,pixar fun
2,jumanji (1995),adventure children fantasy,1995,jumanji (1995) adventure children fantasy 1995 fantasy magic board game robin williams game,fantasy magic board game robin williams game
3,grumpier old men (1995),comedy romance,1995,grumpier old men (1995) comedy romance 1995 moldy old,moldy old
4,waiting to exhale (1995),comedy drama romance,1995,waiting to exhale (1995) comedy drama romance 1995 ,
5,father of the bride part ii (1995),comedy,1995,father of the bride part ii (1995) comedy 1995 pregnancy remake,pregnancy remake
6,heat (1995),action crime thriller,1995,heat (1995) action crime thriller 1995 ,
7,sabrina (1995),comedy romance,1995,sabrina (1995) comedy romance 1995 remake,remake
8,tom and huck (1995),adventure children,1995,tom and huck (1995) adventure children 1995 ,
9,sudden death (1995),action,1995,sudden death (1995) action 1995 ,
10,goldeneye (1995),action adventure thriller,1995,goldeneye (1995) action adventure thriller 1995 ,
11,"american president, the (1995)",comedy drama romance,1995,"american president, the (1995) comedy drama romance 1995 politics president",politics president
12,dracula: dead and loving it (1995),comedy horror,1995,dracula: dead and loving it (1995) comedy horror 1995 ,
13,balto (1995),adventure animation children,1995,balto (1995) adventure animation children 1995 ,
14,nixon (1995),drama,1995,nixon (1995) drama 1995 politics president,politics president
15,cutthroat island (1995),action adventure romance,1995,cutthroat island (1995) action adventure romance 1995 ,
16,casino (1995),crime drama,1995,casino (1995) crime drama 1995 mafia,mafia
17,sense and sensibility (1995),drama romance,1995,sense and sensibility (1995) drama romance 1995 jane austen,jane austen
18,four rooms (1995),comedy,1995,four rooms (1995) comedy 1995 ,
19,ace ventura: when nature calls (1995),comedy,1995,ace ventura: when nature calls (1995) comedy 1995 ,
20,money train (1995),action comedy crime drama thriller,1995,money train (1995) action comedy crime drama thriller 1995 ,
21,get shorty (1995),comedy crime thriller,1995,get shorty (1995) comedy crime thriller 1995 hollywood,hollywood
22,copycat (1995),crime drama horror mystery thriller,1995,copycat (1995) crime drama horror mystery thriller 1995 serial killer,serial killer
23,assassins (1995),action crime thriller,1995,assassins (1995) action crime thriller 1995 ,
24,powder (1995),drama sci-fi,1995,powder (1995) drama sci-fi 1995 ,
25,leaving las vegas (1995),drama romance,1995,leaving las vegas (1995) drama romance 1995 alcoholism,alcoholism
26,othello (1995),drama,1995,othello (1995) drama 1995 shakespeare,shakespeare
27,now and then (1995),children drama,1995,now and then (1995) children drama 1995 ,
28,persuasion (1995),drama romance,1995,persuasion (1995) drama romance 1995 in netflix queue jane austen,in netflix queue jane austen
29,"city of lost children, the (cité des enfants perdus, la) (1995)",adventure drama fantasy mystery sci-fi,1995,"city of lost children, the (cité des enfants perdus, la) (1995) adventure drama fantasy mystery sci-fi 1995 kidnapping",kidnapping
30,shanghai triad (yao a yao yao dao waipo qiao) (1995),crime drama,1995,shanghai triad (yao a yao yao dao waipo qiao) (1995) crime drama 1995 ,
31,dangerous minds (1995),drama,1995,dangerous minds (1995) drama 1995 high school teacher,high school teacher
32,twelve monkeys (a.k.a. 12 monkeys) (1995),mystery sci-fi thriller,1995,twelve monkeys (a.k.a. 12 monkeys) (1995) mystery sci-fi thriller 1995 time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake twist ending,time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake twist ending
34,babe (1995),children drama,1995,babe (1995) children drama 1995 animal movie pigs villain nonexistent or not needed for good story,animal movie pigs villain nonexistent or not needed for good story
36,dead man walking (1995),crime drama,1995,dead man walking (1995) crime drama 1995 death penalty nun,death penalty nun
38,it takes two (1995),children comedy,1995,it takes two (1995) children comedy 1995 twins,twins
39,clueless (1995),comedy romance,1995,clueless (1995) comedy romance 1995 chick flick funny paul rudd quotable seen more than once emma jane austen,chick flick funny paul rudd quotable seen more than once emma jane austen
40,"cry, the beloved country (1995)",drama,1995,"cry, the beloved country (1995) drama 1995 in netflix queue south africa",in netflix queue south africa
41,richard iii (1995),drama war,1995,richard iii (1995) drama war 1995 shakespeare,shakespeare
42,dead presidents (1995),action crime drama,1995,dead presidents (1995) action crime drama 1995 ,
43,restoration (1995),drama,1995,restoration (1995) drama 1995 england,england
44,mortal kombat (1995),action adventure fantasy,1995,mortal kombat (1995) action adventure fantasy 1995 ,
45,to die for (1995),comedy drama thriller,1995,to die for (1995) comedy drama thriller 1995 journalism,journalism
46,how to make an american quilt (1995),drama romance,1995,how to make an american quilt (1995) drama romance 1995 wedding,wedding
47,seven (a.k.a. se7en) (1995),mystery thriller,1995,seven (a.k.a. se7en) (1995) mystery thriller 1995 mystery twist ending serial killer,mystery twist ending serial killer
48,pocahontas (1995),animation children drama musical romance,1995,pocahontas (1995) animation children drama musical romance 1995 ,
49,when night is falling (1995),drama romance,1995,when night is falling (1995) drama romance 1995 ,
50,"usual suspects, the (1995)",crime mystery thriller,1995,"usual suspects, the (1995) crime mystery thriller 1995 mindfuck suspense thriller tricky twist ending heist",mindfuck suspense thriller tricky twist ending heist
52,mighty aphrodite (1995),comedy drama romance,1995,mighty aphrodite (1995) comedy drama romance 1995 adoption prostitution,adoption prostitution
53,lamerica (1994),adventure drama,1994,lamerica (1994) adventure drama 1994 ,
54,"big green, the (1995)",children comedy,1995,"big green, the (1995) children comedy 1995 ",
55,georgia (1995),drama,1995,georgia (1995) drama 1995 ,
57,home for the holidays (1995),drama,1995,home for the holidays (1995) drama 1995 ,
58,"postman, the (postino, il) (1994)",comedy drama romance,1994,"postman, the (postino, il) (1994) comedy drama romance 1994 writing",writing
60,"indian in the cupboard, the (1995)",adventure children fantasy,1995,"indian in the cupboard, the (1995) adventure children fantasy 1995 ",
61,eye for an eye (1996),drama thriller,1996,eye for an eye (1996) drama thriller 1996 ,
62,mr. holland's opus (1995),drama,1995,mr. holland's opus (1995) drama 1995 music,music
63,don't be a menace to south central while drinking your juice in the hood (1996),comedy crime,1996,don't be a menace to south central while drinking your juice in the hood (1996) comedy crime 1996 ,
64,two if by sea (1996),comedy romance,1996,two if by sea (1996) comedy romance 1996 ,
65,bio-dome (1996),comedy,1996,bio-dome (1996) comedy 1996 ,
66,lawnmower man 2: beyond cyberspace (1996),action sci-fi thriller,1996,lawnmower man 2: beyond cyberspace (1996) action sci-fi thriller 1996 ,
68,french twist (gazon maudit) (1995),comedy romance,1995,french twist (gazon maudit) (1995) comedy romance 1995 ,
69,friday (1995),comedy,1995,friday (1995) comedy 1995 ,
70,from dusk till dawn (1996),action comedy horror thriller,1996,from dusk till dawn (1996) action comedy horror thriller 1996 ,
71,fair game (1995),action,1995,fair game (1995) action 1995 ,
72,kicking and screaming (1995),comedy drama,1995,kicking and screaming (1995) comedy drama 1995 ,
73,"misérables, les (1995)",drama war,1995,"misérables, les (1995) drama war 1995 ",
74,bed of roses (1996),drama romance,1996,bed of roses (1996) drama romance 1996 ,
75,big bully (1996),comedy drama,1996,big bully (1996) comedy drama 1996 ,
76,screamers (1995),action sci-fi thriller,1995,screamers (1995) action sci-fi thriller 1995 ,
77,nico icon (1995),documentary,1995,nico icon (1995) documentary 1995 ,
78,"crossing guard, the (1995)",action crime drama thriller,1995,"crossing guard, the (1995) action crime drama thriller 1995 ",
79,"juror, the (1996)",drama thriller,1996,"juror, the (1996) drama thriller 1996 ",
80,"white balloon, the (badkonake sefid) (1995)",children drama,1995,"white balloon, the (badkonake sefid) (1995) children drama 1995 ",
81,things to do in denver when you're dead (1995),crime drama romance,1995,things to do in denver when you're dead (1995) crime drama romance 1995 ,
82,antonia's line (antonia) (1995),comedy drama,1995,antonia's line (antonia) (1995) comedy drama 1995 ,
83,once upon a time... when we were colored (1995),drama romance,1995,once upon a time... when we were colored (1995) drama romance 1995 ,
85,angels and insects (1995),drama romance,1995,angels and insects (1995) drama romance 1995 ,
86,white squall (1996),action adventure drama,1996,white squall (1996) action adventure drama 1996 ,
87,dunston checks in (1996),children comedy,1996,dunston checks in (1996) children comedy 1996 ,
88,black sheep (1996),comedy,1996,black sheep (1996) comedy 1996 ,
89,nick of time (1995),action thriller,1995,nick of time (1995) action thriller 1995 ,
92,mary reilly (1996),drama horror thriller,1996,mary reilly (1996) drama horror thriller 1996 jekyll and hyde,jekyll and hyde
93,vampire in brooklyn (1995),comedy horror romance,1995,vampire in brooklyn (1995) comedy horror romance 1995 ,
94,beautiful girls (1996),comedy drama romance,1996,beautiful girls (1996) comedy drama romance 1996 ,
95,broken arrow (1996),action adventure thriller,1996,broken arrow (1996) action adventure thriller 1996 ,
96,in the bleak midwinter (1995),comedy drama,1995,in the bleak midwinter (1995) comedy drama 1995 theater,theater
97,"hate (haine, la) (1995)",crime drama,1995,"hate (haine, la) (1995) crime drama 1995 ",
99,heidi fleiss: hollywood madam (1995),documentary,1995,heidi fleiss: hollywood madam (1995) documentary 1995 ,
100,city hall (1996),drama thriller,1996,city hall (1996) drama thriller 1996 ,
101,bottle rocket (1996),adventure comedy crime romance,1996,bottle rocket (1996) adventure comedy crime romance 1996 crime off-beat comedy quirky,crime off-beat comedy quirky
102,mr. wrong (1996),comedy,1996,mr. wrong (1996) comedy 1996 ,
103,unforgettable (1996),mystery sci-fi thriller,1996,unforgettable (1996) mystery sci-fi thriller 1996 ,
104,happy gilmore (1996),comedy,1996,happy gilmore (1996) comedy 1996 test tag golf adam sandler,test tag golf adam sandler
105,"bridges of madison county, the (1995)",drama romance,1995,"bridges of madison county, the (1995) drama romance 1995 ",
106,nobody loves me (keiner liebt mich) (1994),comedy drama,1994,nobody loves me (keiner liebt mich) (1994) comedy drama 1994 ,
107,muppet treasure island (1996),adventure children comedy musical,1996,muppet treasure island (1996) adventure children comedy musical 1996 muppets,muppets
108,catwalk (1996),documentary,1996,catwalk (1996) documentary 1996 ,
110,braveheart (1995),action drama war,1995,braveheart (1995) action drama war 1995 beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland
111,taxi driver (1976),crime drama thriller,1976,taxi driver (1976) crime drama thriller 1976 assassination,assassination
112,rumble in the bronx (hont faan kui) (1995),action adventure comedy crime,1995,rumble in the bronx (hont faan kui) (1995) action adventure comedy crime 1995 ,
113,before and after (1996),drama mystery,1996,before and after (1996) drama mystery 1996 ,
116,anne frank remembered (1995),documentary,1995,anne frank remembered (1995) documentary 1995 holocaust,holocaust
117,"young poisoner's handbook, the (1995)",crime drama,1995,"young poisoner's handbook, the (1995) crime drama 1995 ",
118,if lucy fell (1996),comedy romance,1996,if lucy fell (1996) comedy romance 1996 ,
119,"steal big, steal little (1995)",comedy,1995,"steal big, steal little (1995) comedy 1995 ",
121,"boys of st. vincent, the (1992)",drama,1992,"boys of st. vincent, the (1992) drama 1992 ",
122,boomerang (1992),comedy romance,1992,boomerang (1992) comedy romance 1992 dating,dating
123,chungking express (chung hing sam lam) (1994),drama mystery romance,1994,chungking express (chung hing sam lam) (1994) drama mystery romance 1994 ,
125,flirting with disaster (1996),comedy,1996,flirting with disaster (1996) comedy 1996 ,
126,"neverending story iii, the (1994)",adventure children fantasy,1994,"neverending story iii, the (1994) adventure children fantasy 1994 ",
128,jupiter's wife (1994),documentary,1994,jupiter's wife (1994) documentary 1994 ,
129,pie in the sky (1996),comedy romance,1996,pie in the sky (1996) comedy romance 1996 ,
132,jade (1995),thriller,1995,jade (1995) thriller 1995 ,
135,down periscope (1996),comedy,1996,down periscope (1996) comedy 1996 ,
137,man of the year (1995),documentary,1995,man of the year (1995) documentary 1995 ,
140,up close and personal (1996),drama romance,1996,up close and personal (1996) drama romance 1996 journalism,journalism
141,"birdcage, the (1996)",comedy,1996,"birdcage, the (1996) comedy 1996 ",
144,"brothers mcmullen, the (1995)",comedy,1995,"brothers mcmullen, the (1995) comedy 1995 ",
145,bad boys (1995),action comedy crime drama thriller,1995,bad boys (1995) action comedy crime drama thriller 1995 ,
146,"amazing panda adventure, the (1995)",adventure children,1995,"amazing panda adventure, the (1995) adventure children 1995 ",
147,"basketball diaries, the (1995)",drama,1995,"basketball diaries, the (1995) drama 1995 addiction heroin leonardo dicaprio mark wahlberg",addiction heroin leonardo dicaprio mark wahlberg
148,"awfully big adventure, an (1995)",drama,1995,"awfully big adventure, an (1995) drama 1995 ",
149,amateur (1994),crime drama thriller,1994,amateur (1994) crime drama thriller 1994 ,
150,apollo 13 (1995),adventure drama imax,1995,apollo 13 (1995) adventure drama imax 1995 moon nasa space,moon nasa space
151,rob roy (1995),action drama romance war,1995,rob roy (1995) action drama romance war 1995 ,
152,"addiction, the (1995)",drama horror,1995,"addiction, the (1995) drama horror 1995 ",
153,batman forever (1995),action adventure comedy crime,1995,batman forever (1995) action adventure comedy crime 1995 superhero,superhero
154,beauty of the day (belle de jour) (1967),drama,1967,beauty of the day (belle de jour) (1967) drama 1967 ,
155,beyond rangoon (1995),adventure drama war,1995,beyond rangoon (1995) adventure drama war 1995 ,
156,blue in the face (1995),comedy drama,1995,blue in the face (1995) comedy drama 1995 ,
157,canadian bacon (1995),comedy war,1995,canadian bacon (1995) comedy war 1995 ,
158,casper (1995),adventure children,1995,casper (1995) adventure children 1995 ,
159,clockers (1995),crime drama mystery,1995,clockers (1995) crime drama mystery 1995 ,
160,congo (1995),action adventure mystery sci-fi,1995,congo (1995) action adventure mystery sci-fi 1995 michael crichton,michael crichton
161,crimson tide (1995),drama thriller war,1995,crimson tide (1995) drama thriller war 1995 submarine,submarine
162,crumb (1994),documentary,1994,crumb (1994) documentary 1994 in netflix queue,in netflix queue
163,desperado (1995),action romance western,1995,desperado (1995) action romance western 1995 ,
164,devil in a blue dress (1995),crime film-noir mystery thriller,1995,devil in a blue dress (1995) crime film-noir mystery thriller 1995 ,
165,die hard: with a vengeance (1995),action crime thriller,1995,die hard: with a vengeance (1995) action crime thriller 1995 ,
166,"doom generation, the (1995)",comedy crime drama,1995,"doom generation, the (1995) comedy crime drama 1995 ",
168,first knight (1995),action drama romance,1995,first knight (1995) action drama romance 1995 ,
169,free willy 2: the adventure home (1995),adventure children drama,1995,free willy 2: the adventure home (1995) adventure children drama 1995 ,
170,hackers (1995),action adventure crime thriller,1995,hackers (1995) action adventure crime thriller 1995 ,
171,jeffrey (1995),comedy drama,1995,jeffrey (1995) comedy drama 1995 ,
172,johnny mnemonic (1995),action sci-fi thriller,1995,johnny mnemonic (1995) action sci-fi thriller 1995 ,
173,judge dredd (1995),action crime sci-fi,1995,judge dredd (1995) action crime sci-fi 1995 ,
174,jury duty (1995),comedy,1995,jury duty (1995) comedy 1995 ,
175,kids (1995),drama,1995,kids (1995) drama 1995 controversial new york city nudity (full frontal),controversial new york city nudity (full frontal)
176,living in oblivion (1995),comedy,1995,living in oblivion (1995) comedy 1995 ,
177,lord of illusions (1995),horror,1995,lord of illusions (1995) horror 1995 ,
178,love & human remains (1993),comedy drama,1993,love & human remains (1993) comedy drama 1993 ,
179,mad love (1995),drama romance,1995,mad love (1995) drama romance 1995 ,
180,mallrats (1995),comedy romance,1995,mallrats (1995) comedy romance 1995 ,
181,mighty morphin power rangers: the movie (1995),action children,1995,mighty morphin power rangers: the movie (1995) action children 1995 ,
183,mute witness (1994),comedy horror thriller,1994,mute witness (1994) comedy horror thriller 1994 ,
184,nadja (1994),drama,1994,nadja (1994) drama 1994 ,
185,"net, the (1995)",action crime thriller,1995,"net, the (1995) action crime thriller 1995 computers",computers
186,nine months (1995),comedy romance,1995,nine months (1995) comedy romance 1995 ,
187,party girl (1995),comedy,1995,party girl (1995) comedy 1995 ,
188,"prophecy, the (1995)",fantasy horror mystery,1995,"prophecy, the (1995) fantasy horror mystery 1995 ",
189,reckless (1995),comedy fantasy,1995,reckless (1995) comedy fantasy 1995 ,
190,safe (1995),thriller,1995,safe (1995) thriller 1995 ,
191,"scarlet letter, the (1995)",drama romance,1995,"scarlet letter, the (1995) drama romance 1995 ",
193,showgirls (1995),drama,1995,showgirls (1995) drama 1995 ,
194,smoke (1995),comedy drama,1995,smoke (1995) comedy drama 1995 ,
195,something to talk about (1995),comedy drama romance,1995,something to talk about (1995) comedy drama romance 1995 ,
196,species (1995),horror sci-fi,1995,species (1995) horror sci-fi 1995 ,
198,strange days (1995),action crime drama mystery sci-fi thriller,1995,strange days (1995) action crime drama mystery sci-fi thriller 1995 ,
199,"umbrellas of cherbourg, the (parapluies de cherbourg, les) (1964)",drama musical romance,1964,"umbrellas of cherbourg, the (parapluies de cherbourg, les) (1964) drama musical romance 1964 made me cry",made me cry
201,three wishes (1995),drama fantasy,1995,three wishes (1995) drama fantasy 1995 ,
202,total eclipse (1995),drama romance,1995,total eclipse (1995) drama romance 1995 ,
203,"to wong foo, thanks for everything! julie newmar (1995)",comedy,1995,"to wong foo, thanks for everything! julie newmar (1995) comedy 1995 ",
204,under siege 2: dark territory (1995),action,1995,under siege 2: dark territory (1995) action 1995 ,
205,unstrung heroes (1995),comedy drama,1995,unstrung heroes (1995) comedy drama 1995 ,
206,unzipped (1995),documentary,1995,unzipped (1995) documentary 1995 ,
207,"walk in the clouds, a (1995)",drama romance,1995,"walk in the clouds, a (1995) drama romance 1995 ",
208,waterworld (1995),action adventure sci-fi,1995,waterworld (1995) action adventure sci-fi 1995 ,
209,white man's burden (1995),drama,1995,white man's burden (1995) drama 1995 ,
210,wild bill (1995),western,1995,wild bill (1995) western 1995 ,
211,"browning version, the (1994)",drama,1994,"browning version, the (1994) drama 1994 ",
212,bushwhacked (1995),adventure comedy crime mystery,1995,bushwhacked (1995) adventure comedy crime mystery 1995 ,
213,burnt by the sun (utomlyonnye solntsem) (1994),drama,1994,burnt by the sun (utomlyonnye solntsem) (1994) drama 1994 ,
214,before the rain (pred dozhdot) (1994),drama war,1994,before the rain (pred dozhdot) (1994) drama war 1994 ,
215,before sunrise (1995),drama romance,1995,before sunrise (1995) drama romance 1995 generation x,generation x
216,billy madison (1995),comedy,1995,billy madison (1995) comedy 1995 school adam sandler stop looking at me swan,school adam sandler stop looking at me swan
217,"babysitter, the (1995)",drama thriller,1995,"babysitter, the (1995) drama thriller 1995 ",
218,boys on the side (1995),comedy drama,1995,boys on the side (1995) comedy drama 1995 ,
219,"cure, the (1995)",drama,1995,"cure, the (1995) drama 1995 ",
220,castle freak (1995),horror,1995,castle freak (1995) horror 1995 ,
222,circle of friends (1995),drama romance,1995,circle of friends (1995) drama romance 1995 ireland,ireland
223,clerks (1994),comedy,1994,clerks (1994) comedy 1994 cynical hilarious independent film quirky witty generation x,cynical hilarious independent film quirky witty generation x
224,don juan demarco (1995),comedy drama romance,1995,don juan demarco (1995) comedy drama romance 1995 mental illness psychology,mental illness psychology
225,disclosure (1994),drama thriller,1994,disclosure (1994) drama thriller 1994 ,
227,drop zone (1994),action thriller,1994,drop zone (1994) action thriller 1994 ,
228,destiny turns on the radio (1995),comedy,1995,destiny turns on the radio (1995) comedy 1995 ,
229,death and the maiden (1994),drama thriller,1994,death and the maiden (1994) drama thriller 1994 ,
230,dolores claiborne (1995),drama thriller,1995,dolores claiborne (1995) drama thriller 1995 stephen king,stephen king
231,dumb & dumber (dumb and dumber) (1994),adventure comedy,1994,dumb & dumber (dumb and dumber) (1994) adventure comedy 1994 ,
232,eat drink man woman (yin shi nan nu) (1994),comedy drama romance,1994,eat drink man woman (yin shi nan nu) (1994) comedy drama romance 1994 in netflix queue,in netflix queue
233,exotica (1994),drama,1994,exotica (1994) drama 1994 ,
234,exit to eden (1994),comedy,1994,exit to eden (1994) comedy 1994 ,
235,ed wood (1994),comedy drama,1994,ed wood (1994) comedy drama 1994 movie business,movie business
236,french kiss (1995),action comedy romance,1995,french kiss (1995) action comedy romance 1995 ,
237,forget paris (1995),comedy romance,1995,forget paris (1995) comedy romance 1995 basketball france infertility,basketball france infertility
238,far from home: the adventures of yellow dog (1995),adventure children,1995,far from home: the adventures of yellow dog (1995) adventure children 1995 ,
239,"goofy movie, a (1995)",animation children comedy romance,1995,"goofy movie, a (1995) animation children comedy romance 1995 ",
240,hideaway (1995),thriller,1995,hideaway (1995) thriller 1995 ,
241,fluke (1995),children drama,1995,fluke (1995) children drama 1995 ,
242,farinelli: il castrato (1994),drama musical,1994,farinelli: il castrato (1994) drama musical 1994 ,
243,gordy (1995),children comedy fantasy,1995,gordy (1995) children comedy fantasy 1995 ,
246,hoop dreams (1994),documentary,1994,hoop dreams (1994) documentary 1994 basketball,basketball
247,heavenly creatures (1994),crime drama,1994,heavenly creatures (1994) crime drama 1994 australia,australia
248,houseguest (1994),comedy,1994,houseguest (1994) comedy 1994 bad sinbad,bad sinbad
249,immortal beloved (1994),drama romance,1994,immortal beloved (1994) drama romance 1994 beethoven,beethoven
250,heavyweights (heavy weights) (1995),children comedy,1995,heavyweights (heavy weights) (1995) children comedy 1995 ,
251,"hunted, the (1995)",action,1995,"hunted, the (1995) action 1995 ",
252,i.q. (1994),comedy romance,1994,i.q. (1994) comedy romance 1994 einstein,einstein
253,interview with the vampire: the vampire chronicles (1994),drama horror,1994,interview with the vampire: the vampire chronicles (1994) drama horror 1994 ,
254,jefferson in paris (1995),drama,1995,jefferson in paris (1995) drama 1995 ,
255,"jerky boys, the (1995)",comedy,1995,"jerky boys, the (1995) comedy 1995 ",
256,junior (1994),comedy sci-fi,1994,junior (1994) comedy sci-fi 1994 ,
257,just cause (1995),mystery thriller,1995,just cause (1995) mystery thriller 1995 court,court
258,"kid in king arthur's court, a (1995)",adventure children comedy fantasy romance,1995,"kid in king arthur's court, a (1995) adventure children comedy fantasy romance 1995 ",
259,kiss of death (1995),crime drama thriller,1995,kiss of death (1995) crime drama thriller 1995 ,
260,star wars: episode iv - a new hope (1977),action adventure sci-fi,1977,star wars: episode iv - a new hope (1977) action adventure sci-fi 1977 classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure nerd space epic oldie but goodie star wars robots and androids space space adventure darth vader luke skywalker space opera,classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure nerd space epic oldie but goodie star wars robots and androids space space adventure darth vader luke skywalker space opera
261,little women (1994),drama,1994,little women (1994) drama 1994 louisa may alcott,louisa may alcott
262,"little princess, a (1995)",children drama,1995,"little princess, a (1995) children drama 1995 england girl power india",england girl power india
263,ladybird ladybird (1994),drama,1994,ladybird ladybird (1994) drama 1994 ,
265,like water for chocolate (como agua para chocolate) (1992),drama fantasy romance,1992,like water for chocolate (como agua para chocolate) (1992) drama fantasy romance 1992 ,
266,legends of the fall (1994),drama romance war western,1994,legends of the fall (1994) drama romance war western 1994 ,
267,major payne (1995),comedy,1995,major payne (1995) comedy 1995 ,
269,my crazy life (mi vida loca) (1993),drama,1993,my crazy life (mi vida loca) (1993) drama 1993 ,
270,love affair (1994),drama romance,1994,love affair (1994) drama romance 1994 ,
271,losing isaiah (1995),drama,1995,losing isaiah (1995) drama 1995 ,
272,"madness of king george, the (1994)",comedy drama,1994,"madness of king george, the (1994) comedy drama 1994 england mental illness",england mental illness
273,mary shelley's frankenstein (frankenstein) (1994),drama horror sci-fi,1994,mary shelley's frankenstein (frankenstein) (1994) drama horror sci-fi 1994 gothic,gothic
